"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2015-10-06 17:00:00,2015-10-13,5127608.57662276,1905369.70488872,13797736.3249991,19141.6717054305,7295.11793782156,50929.2701773223,34883.6011958907,29.3500429708279,7894120.4172935,37558.9111346793,3064.7501412323,499525.956086156,1927189.95244518,971454.858387336,3825257.42693053,430911.507794666,428522.650538415,433838.679443138,113022.563607862,1491309367.47097,1491398587.11235,1491371120.08494,-3471823.75783681,-1111238.76453282,-18652416.7709002
2015-10-13 17:00:00,2015-10-20,4949992.76603018,1839679.38164626,13352905.3330583,17895.8011990342,6787.21557486376,48105.0248732384,33726.651622371,25.8217473560661,7847131.6052858,35260.8260030858,2827.7645184338,480904.896695018,1829235.23250749,922630.223013468,3627648.59205755,426274.277366402,423763.303621852,429480.698160554,0,1490811657.57716,1490842408.76724,1490888685.2981,-2787865.73500061,-640793.036721532,-17679862.7235243
2015-10-20 16:00:00,2015-10-27,4816039.41236828,1785998.8446012,12970531.9276751,16722.9702380682,6281.30918935375,45074.075334161,33060.1942206558,22.1549731987211,7894120.4172935,33342.1448805113,2608.23228685737,457822.281093633,1747164.72797068,881391.923830181,3460283.91941988,364671.686437921,363064.38950637,366883.66244055,176597.755637285,1490805158.37714,1490834463.61341,1490750818.91823,694698.158313854,2968654.43607867,-14058148.5979332
2015-10-27 16:00:00,2015-11-03,5960498.42505945,2217724.65337909,16002835.2707559,28788.9097782222,11576.8339822095,72669.3842955047,39831.8418150343,85.0563711653344,7941109.2293012,53058.489503952,4845.77577186285,628399.19122954,2521539.39118628,1273117.9265847,5005088.48677351,163668.022073501,163275.741256418,164263.630711294,1419845.95532377,1494463782.59839,1494493293.89065,1494446525.33766,-6263397.68555086,-3646310.2341771,-22289331.2551312
2015-11-03 17:00:00,2015-11-10,7053030.59077505,2623859.15924867,18973155.1327941,39261.493726292,16061.5968803628,97141.0537573267,46353.3865838277,127.765314194502,7847131.6052858,70982.6217304614,6869.70549565477,775210.363961392,3239403.40531344,1632920.38392374,6403550.10012887,207860.357438545,207385.571995206,208566.340926252,282556.409019656,1493017201.12106,1493099469.54894,1493017899.71047,-2242151.30879308,764487.349090397,-19704399.9129331
2015-11-10 16:00:00,2015-11-17,7216998.57241075,2680999.3288388,19369193.0718799,41663.2252941605,17209.9161351046,102097.533223388,47219.2909672156,147.792410877749,7894120.4172935,74469.4812623871,7284.25700487662,803773.241338414,3366813.20185894,1699523.74468841,6665572.16748963,127578.215838861,127182.682622757,127959.701283994,671071.471421683,1494819970.55135,1494758147.75977,1494871555.7396,-5284321.77504848,-2394587.09064021,-22615316.5970031
2015-11-17 16:00:00,2015-11-24,8186087.05069737,3047920.77901224,21984104.9496977,53877.4387062669,22643.9671444998,129284.153321657,53053.2962562747,231.487927326609,7941109.2293012,93943.2959016823,9614.41656865248,967303.476662178,4092299.96905532,2067616.29053418,8104565.25657478,209310.071353698,208428.493715957,210216.650452653,656943.6509707,1494092679.39996,1494189555.02915,1494026974.98746,-6733627.58360325,-3402662.83141324,-25399835.367496
2015-11-24 17:00:00,2015-12-01,6505048.11259641,2420475.11266589,17527529.8922083,33229.0730881701,13413.9415794377,83421.9182407445,42960.2870414168,93.8302635336267,7800142.7932781,61011.0000491158,5663.1789712214,697323.013951514,2861644.71528349,1444496.14087239,5675318.4135673,210788.313308574,209927.484949932,211946.730911419,56511.2818039312,1492101346.50848,1492153683.21458,1492085621.67342,-2636423.532007,51551.7346384449,-19367233.0263838
2015-12-01 15:00:00,2015-12-08,6364408.92006594,2362012.43380358,17173636.9965582,31002.2412183358,12461.4526654556,78192.4352890652,42265.3355820572,77.6258768925301,7894120.4172935,57543.7063270999,5310.26738555052,671602.59956646,2733514.61301773,1379801.92967852,5411136.27345642,122422.649052858,122080.02546829,122749.811949491,784094.035029545,1493091249.70246,1493064113.9432,1492978907.12752,585722.515137467,3420194.39123575,-15922189.317331
2015-12-08 15:00:00,2015-12-15,12192722.2821563,4541122.61331574,32763349.9889695,135404.134224647,59543.6165150096,309051.97907148,75219.468188675,1238.28616487055,5473789.43226731,210525.760537316,24125.3980158727,1910422.70516413,7878300.75575408,3975259.35530715,15608251.4466228,72730.5041310895,72515.5854585654,72879.5646270612,1490485.05757869,1498100349.19375,1498209685.0242,1498061175.37837,-8207713.44947048,-4035639.10139446,-28468416.9003412
2015-12-15 17:00:00,2015-12-22,9972797.41801454,3702274.40144089,26779049.4056513,83381.645514228,35913.0622166581,195259.235731357,63161.7849052704,530.00687740039,7559685.12898446,138352.614040259,15140.4907253557,1320078.98262727,5621756.87604459,2837568.98312716,11148076.4595972,113373.288337121,112882.276556495,113750.25419571,1441037.68600025,1496045961.18708,1496007236.27566,1496094276.3078,-7707740.9899627,-4069323.96872695,-27645554.5417917
2015-12-22 18:00:00,2015-12-29,8289862.03167004,3074601.39059667,22277775.4610463,56529.7589583421,23875.6721087362,135598.500272954,53285.3694142372,259.732295105803,7798182.94671926,97677.2395210847,10098.0209387331,981712.535077788,4213625.60600447,2129224.17004684,8350571.69835751,100019.236306213,99722.5071649025,100290.208972656,798221.855480528,1494301821.18121,1494394965.45907,1494269396.72665,-6128869.72600364,-2783311.29436796,-24809159.6436665
2015-12-29 16:00:00,2016-01-05,6950013.23809076,2585426.2189638,18713890.418683,37273.2518645682,15164.044911302,92749.9369124365,45783.8265419664,112.315727392295,8035086.8533166,67829.2495409764,6439.45867638308,757158.808050182,3129590.27531861,1577733.75003515,6209839.99933955,128003.821921889,127537.864445684,128611.934404182,21191.7306764742,1493154882.86794,1493126435.20667,1493164195.42649,-4231043.78329411,-1409589.55976464,-21596914.008985
2016-01-05 19:00:00,2016-01-12,6802528.90036568,2526880.86954681,18332007.0882168,34863.9296462021,14099.8200537469,87200.9367854393,44963.8803727232,97.1618581276115,8082075.6653243,64149.5054564201,6041.95445349797,722744.645831677,2997988.52906167,1512289.18126028,5949993.16190747,110388.935831089,109952.724097934,110833.564185708,70639.102254914,1492788336.28412,1492811147.01158,1492677668.0212,-4099149.86624325,-1137679.26179893,-21446819.7948299
2016-01-12 23:00:00,2016-01-19,6196553.39717767,2305811.3011941,16664556.992427,30488.9647283881,12234.3892800307,76785.7533937603,41181.4427199749,77.4321487709809,7612187.5452473,56498.0248585087,5208.01323027325,652063.034689741,2678758.19284831,1352381.11527409,5297662.70415881,103456.017590539,103126.114832227,103782.267964189,890052.688411916,1492597954.27108,1492598167.92907,1492535505.76221,-4595074.46138757,-1920480.50209869,-20679795.8720266
2016-01-19 17:00:00,2016-01-26,6229774.04482348,2319545.18152765,16818204.3490293,29659.9578578619,11812.8960680541,75443.9649730472,41302.2757096209,71.5092223339176,7847131.6052858,55418.6531959006,5048.1288790604,653973.342904322,2644794.74950734,1334782.11305295,5242942.71262168,116653.719493031,116200.514479872,116917.680677298,904180.508862899,1492435440.11715,1492412573.09909,1492372901.85427,-3693742.09786941,-967237.715427271,-20053587.4750664
