CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,CollectTime,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes
FMP,FMP06091,FMP06091,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,1/27/2010,12/30/1899 10:00:00,0,0,Deposition-Wet,407,Legacy_Deposition,Total Phosphorus,TP,1.789,,1.789,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100211P Spikes: 97.290; 97.954 Reps: 7.281; 7.205; 669.977; 661.643; 5.865; 4.847 Knowns: 84.743; 100.000; 100.000; 93.042; 100.000,
FMP,FMP06101,FMP06101,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,2/4/2010,12/30/1899 9:00:00,0,0,Deposition-Wet,227.6,Legacy_Deposition,Total Phosphorus,TP,665.81,E,665.81,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100211P Spikes: 97.290; 97.954 Reps: 7.281; 7.205; 669.977; 661.643; 5.865; 4.847 Knowns: 84.743; 100.000; 100.000; 93.042; 100.000,Analyte values may be falsely elevated by a factor of 246 (discovered by JW-7Jun13); except NH4-N which was manually corrected to 79.588
FMP,FMP06110,FMP06110,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,2/17/2010,12/30/1899 10:00:00,0,0,Deposition-Wet,723.4,Legacy_Deposition,Total Phosphorus,TP,1.623,,1.623,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100323P Spikes: 98.771 Reps: 5.558; 4.803 Knowns: 90.367; 101.453; 97.676,
FMP,FMP06126,FMP06126,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,3/10/2010,12/30/1899 9:40:00,0,0,Deposition-Wet,1320.7,Legacy_Deposition,Total Phosphorus,TP,1.384,,1.384,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100323P Spikes: 98.771 Reps: 5.558; 4.803 Knowns: 90.367; 101.453; 97.676,
FMP,FMP06142,FMP06142,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,4/2/2010,12/30/1899 10:00:00,0,0,Deposition-Wet,561.7,Legacy_Deposition,Total Phosphorus,TP,21.422,,21.422,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100420P Spikes: 104.160 Reps: 8.730; 7.587 Knowns: 106.027; 101.637; 93.133,
FMP,FMP06151,FMP06151,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,4/16/2010,12/30/1899 11:20:00,0,0,Deposition-Wet,2407.3,Legacy_Deposition,Total Phosphorus,TP,5.38,,5.38,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100420P Spikes: 104.160 Reps: 8.730; 7.587 Knowns: 106.027; 101.637; 93.133,
FMP,FMP06167,FMP06167,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,4/30/2010,12/30/1899 9:00:00,0,0,Deposition-Wet,3589.4,Legacy_Deposition,Total Phosphorus,TP,4.914,,4.914,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,QC: 20100526P Spikes: 101.654; 105.246; 91.586 Reps: 6.758; 6.873; 7.526; 5.682; 13.132 Knowns: 102.920; 103.215; 91.900; 102.920,
FMP,FMP06178,FMP06178,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/12/2010,12/30/1899 9:30:00,0,0,Deposition-Wet,522.3,Legacy_Deposition,Total Phosphorus,TP,11.75,,11.75,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,"Bucket in on 30 IV 10 at 0900 hrs; -Starting to warm up, occasional rain, POLLEN in the air; -~3 flies in sample;  filtered through 500 um mesh nitex; ****SNOW COLLECTORS WERE DRY; ****ENDING BULK PRECIP COLLECTION",QC: 20100526P Spikes: 101.654; 105.246; 91.586 Reps: 6.758; 6.873; 7.526; 5.682; 13.132 Knowns: 102.920; 103.215; 91.900; 102.920,
FMP,FMP06184,FMP06184,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/19/2010,12/30/1899 16:00:00,0,0,Deposition-Wet,777.2,Legacy_Deposition,Total Phosphorus,TP,16.396,,16.396,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,"Bucket in on 12 V 10 at 0930 hrs.; -Warm and dry over the weekend and on Monday, heavy rain showers late-afternoon on Tuesday; dry today; -Sample clean; filtered through 500 micron mesh nitex",QC: 20100526P Spikes: 101.654; 105.246; 91.586 Reps: 6.758; 6.873; 7.526; 5.682; 13.132 Knowns: 102.920; 103.215; 91.900; 102.920,
FMP,FMP06191,FMP06191,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,5/26/2010,12/30/1899 14:25:00,0,0,Deposition-Wet,448.4,Legacy_Deposition,Total Phosphorus,TP,9.64,,9.64,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,Bucket in on 19 V 10 @ 1600 hrs.; -Lite debris and POLLEN; filtered through 500 micron mesh nitex; -Some showers over the weekend abd throughout the week; but mostly dry and warm,QC: 20100624P Spikes: 104.589 Reps: 11.571; 12.034 Knowns: 105.715; 103.447,
