"age","actual_depth","sed.rate","sed.rate.error","ugP_ugsed","ugP_mgsed","ugN_ugsed","ugN_mgsed"
1929.05375,11.25,NA,NA,0.00134434762773723,1.34434762773723,0.00272591967,2.72591966851595
1925.3525,11.5,NA,NA,0.00179739341085271,1.79739341085271,NA,NA
1921.65125,11.75,NA,NA,0.00112710376687989,1.12710376687989,0.00248438094,2.48438094400527
1917.95,12,0.0328,0.0197,0.000804538664323374,0.804538664323374,NA,NA
1910.32804878049,12.25,NA,NA,0.000816999121265378,0.816999121265378,0.00282372217,2.82372216785351
1902.70609756098,12.5,NA,NA,NA,NA,NA,NA
1895.08414634146,12.75,NA,NA,0.000809809756097561,0.809809756097561,0.00265929219,2.65929219337922
1887.46219512195,13,NA,NA,NA,NA,NA,NA
1879.84024390244,13.25,NA,NA,0.000899393939393939,0.899393939393939,0.00262532985,2.62532985176309
1872.21829268293,13.5,NA,NA,NA,NA,NA,NA
1864.59634146341,13.75,NA,NA,0.00140713746856664,1.40713746856664,0.00257356625,2.57356624563852
1856.9743902439,14,NA,NA,NA,NA,NA,NA
1849.35243902439,14.25,NA,NA,0.00118169029850746,1.18169029850746,0.00247451455,2.47451454714384
1841.73048780488,14.5,NA,NA,NA,NA,NA,NA
1834.10853658537,14.75,NA,NA,0.000884489395129615,0.884489395129615,0.00239731768,2.39731767711268
1826.48658536585,15,NA,NA,NA,NA,NA,NA
1818.86463414634,15.25,NA,NA,0.000791997422680412,0.791997422680412,0.00246851043,2.46851043249661
1811.24268292683,15.5,NA,NA,NA,NA,NA,NA
1803.62073170732,15.75,NA,NA,0.000788671274961598,0.788671274961598,0.0027779889,2.77798889570552
1795.9987804878,16,NA,NA,NA,NA,NA,NA
1788.37682926829,16.25,NA,NA,0.000982866666666667,0.982866666666667,0.00263669133,2.63669132647731
1780.75487804878,16.5,NA,NA,NA,NA,NA,NA
1773.13292682927,16.75,NA,NA,0.000761655138339921,0.761655138339921,0.00290907034,2.90907034171697
1765.51097560976,17,NA,NA,NA,NA,NA,NA
