CustomerID,OrderID,SampleNumber,Site,Sitecode,CustomerSampleNumber,CollectDate,StartDepth,EndDepth,SampleType,Volume,Matrix,Test,Param,ReportedResult,Qualifier,CorrectedReportedResult,CorrectedQualifier,Results_Units,Method,RDL,OrderComment,Results_Commnt,FieldNotes(2014+),FD Fieldnotes(-2013),FD QCData,FD Labnotes,NEW NOTES
FMP,FMP05719,FMP05719,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/18/2008,0,0,Deposition-Dry,638.6,Legacy_Deposition,Total Nitrogen,TPN,162.039,,162.039,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05719,FMP05719,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/18/2008,0,0,Deposition-Dry,638.6,Legacy_Deposition,Total Phosphorus,TP,27.208,,27.208,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05721,FMP05721,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/23/2008,0,0,Deposition-Dry,724.8,Legacy_Deposition,Total Nitrogen,TPN,182.173,,182.173,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05721,FMP05721,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,9/23/2008,0,0,Deposition-Dry,724.8,Legacy_Deposition,Total Phosphorus,TP,16.903,,16.903,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05730,FMP05730,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/1/2008,0,0,Deposition-Dry,582.7,Legacy_Deposition,Total Nitrogen,TPN,306.528,,306.528,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090212N Spikes: 99.64, 90.373, 103.309, 101.859 Reps: 225.52, 226.048; 107.19, 113.245; 123.488, 120.259; 105.707, 115.99 Knowns: 100, 100, 100, 103.616, 100",,
FMP,FMP05730,FMP05730,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/1/2008,0,0,Deposition-Dry,582.7,Legacy_Deposition,Total Phosphorus,TP,47.712,,47.712,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090127P Spikes: 103.058, 103.569, 103.616, 100.282 Reps: 6.2, 6.598; 18.972, 19.33; 6.956, 5.802; 6.2, 6.439 Knowns: 105.851, 109.36, 106.156, 104.592, 105.851",,
FMP,FMP05731,FMP05731,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/8/2008,0,0,Deposition-Dry,1220,Legacy_Deposition,Total Nitrogen,TPN,166.161,,166.161,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05731,FMP05731,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/8/2008,0,0,Deposition-Dry,1220,Legacy_Deposition,Total Phosphorus,TP,34.66,,34.66,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
FMP,FMP05742,FMP05742,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/15/2008,0,0,Deposition-Dry,737.5,Legacy_Deposition,Total Nitrogen,TPN,112.66,,112.66,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090311N Spikes: 104.353, 99.539, 100.141 Reps: 85.668, 83.329; 124.126, 123.05; 119.436, 122.025; 121.544, 124.153 Knowns: 100, 100, 100, 100",,
FMP,FMP05742,FMP05742,Yellow Bay Knob @ Flathead Lake BioStation,TMP03416,,10/15/2008,0,0,Deposition-Dry,737.5,Legacy_Deposition,Total Phosphorus,TP,28.931,,28.931,,µg/l,Legacy_AutoAnalyzer -- Nutrients,,,,See Field Notes,,"QC: 20090318P Spikes: 99.902, 105.876 Reps: 10.748, 10.337; 7.457, 7.292; 3.59, 3.672 Knowns: 92.984, 99.417, 99.26, 100.837, 100.522",,
