"start_date","end_date","umc_m3","umc_m3_lwr","umc_m3_upr","sny_m3","sny_m3_lwr","sny_m3_upr","spr_m3","spr_m3_lwr","spr_m3_upr","fish_m3","fish_m3_lwr","fish_m3_upr","lmc_m3","lmc_m3_lwr","lmc_m3_upr","Le_m3","Le_m3_lwr","Le_m3_upr","Lw_m3","lake_volume","lake_volume_lwr","lake_volume_upr","resid","resid_upr","resid_lwr"
2008-05-20 16:00:00,2008-05-27,41811066.0834843,15542659.9944181,112554134.390107,2064664.24252461,854703.879219315,5103493.76164438,240772.118059303,4530.90344707226,7752206.76245532,2404063.87714336,200117.446049619,30905719.9693223,57043406.6744004,28748963.7768621,113195603.339246,524230.152240716,522464.306039143,526455.064622543,572176.728264803,1533975494.62213,1533925524.51263,1534000449.95102,5717162.87528478,7300269.88869235,-47973940.1275651
2008-05-27 15:00:00,2008-06-03,37545484.8202335,13948622.620995,101033872.39511,1599827.98748615,678103.879001295,3866742.2900967,216512.710376554,5109.54298855851,7780737.19258777,1914476.7821364,170714.936462484,22816096.8473226,47593490.296006,24052897.0964968,94223941.2696609,877857.246454537,872461.112632646,882571.612948791,522729.356686364,1529217763.72025,1529117257.59299,1529203480.70821,-7391313.05418827,-4375013.78746419,-55017481.3621639
2008-06-03 15:00:00,2008-06-10,30995683.6215709,11508820.2644274,83601248.1367379,1054770.82563784,458631.38166217,2464542.74316824,178811.333311027,5755.79574892095,6014766.73931404,1317870.96508639,128672.240317775,14433743.5806453,35111606.9938491,17689307.7846902,69469611.8426002,668002.067206926,665591.3396455,671023.232928569,1103277.09667508,1515154134.78052,1515013441.43002,1515228389.04775,9470721.18160488,13395285.9319644,-29016617.5053319
2008-06-10 15:00:00,2008-06-17,29169887.464329,10845234.1859317,78530670.6510375,923348.758556479,404797.997994393,2140293.06405478,168628.737579747,5779.4018936445,5495396.95987782,1168604.6473368,115887.990712154,12481384.482796,31873373.3537093,16068228.0093899,63234775.4417163,795817.636620576,791650.578057649,799509.882487331,438435.215373512,1523495660.74335,1523473767.1457,1523473932.63421,1455971.97152424,5681215.94649217,-34385753.0404259
2008-06-17 15:00:00,2008-06-24,34065880.3401765,12654399.4360013,91509753.13766,1291764.96981201,555272.139762645,3061673.13404531,196244.501927533,5576.06597318549,7411956.14888039,1583585.05469255,148028.507848604,18151097.7479326,40821772.0811833,20606759.0658359,80843507.986119,1174535.08340853,1166856.53345459,1181267.05393089,204853.396539251,1524151346.54772,1524139909.15421,1524105404.78516,-375.651195910526,3608808.51678545,-42983050.4196676
2008-06-24 15:00:00,2008-07-01,31752513.8361516,11797349.4709255,85269866.5944205,1070449.5222981,465508.834535775,2494527.25381608,183812.289041386,6021.89441855882,6321213.43417772,1341814.62021337,131078.373232262,14575388.005724,35879178.2430621,18064414.1392815,71159491.2032464,1212491.24187691,1204250.75249103,1219479.12670069,113022.563607862,1519496991.99508,1519471417.25955,1519508727.24878,-4770240.21401327,-580549.584997421,-43833222.935589
2008-07-01 19:00:00,2008-07-08,28260836.0032395,10501903.5963297,76093866.805091,871814.604569486,381549.081103768,2010244.80095003,163626.357104299,5788.25607272311,5116609.27034127,1111732.5209161,111462.863174401,11862347.9987969,30582171.2947696,15422659.5582494,60647538.4281198,931623.826324179,926477.681817868,936430.596119698,162469.935186302,1512096695.12744,1512033241.84576,1512172493.90873,-4955457.92839193,-776841.056639687,-39504598.828086
2008-07-08 16:00:00,2008-07-15,21747557.7619652,8078012.77579818,58482597.4969432,481764.56108101,216724.763207079,1081227.29916509,126528.334200092,4760.91607516686,3517141.54834334,652865.022455098,70500.8100087355,6332249.50688291,19926614.7074613,10071373.8967377,39526995.4174986,1233657.85299942,1225579.30431538,1240925.25103425,0,1506197921.49897,1506190212.8038,1506209689.34389,-5881913.25563058,-1141438.70287603,-32731849.8322217
2008-07-15 15:00:00,2008-07-22,17182583.6376898,6395220.66327805,46279338.279075,281499.980185494,127390.72259297,621651.237199514,100455.056212333,3046.78521679317,3348886.83419885,403656.170035628,44560.3491946021,3719666.58724622,13568236.4661083,6843412.87153763,26843443.6028165,1150010.33311943,1142397.32671247,1156443.56130771,7063.9102254914,1502164451.36258,1502103658.15438,1502141296.70505,-5488462.90006106,-694534.156617841,-28248573.202851
2008-07-22 15:00:00,2008-07-29,14713700.4553962,5471345.30810042,39502553.6177087,196870.460024172,88674.6409253512,435752.526762995,86147.3765403603,1893.73816671943,3694496.08684028,294728.021888981,32338.3841262274,2743386.43170398,10515765.8209618,5315442.79960823,20796905.5109084,961772.219798891,955766.537755835,967890.201391086,155406.024960811,1499933000.41764,1499831804.63535,1500038234.78069,-5856497.03536978,-1504764.35941533,-26563168.8723074
