"Date","TN_kg_m2","TP_kg_m2","TN_dry_kg","TP_dry_kg"
2008-09-18,0.00000164506860513179,0.000000276223789386665,45.7504603993124,7.68196870225372
2008-09-23,0.00000209912229181902,0.000000194767962862866,58.3779977233753,5.41662757663436
2008-10-01,0.00000283955781374201,0.000000441985666592477,78.9700058124654,12.291917597493
2008-10-08,0.00000322273409430543,0.000000672239356459254,89.6263949716688,18.6954270238988
2008-10-15,0.00000132089202251121,0.000000339204039617182,36.7348923802635,9.43349166921183
2008-10-23,0.00000259133965851642,0.00000021146133032336,72.0668925650218,5.88088131325669
2008-11-06,0.00000456648992400878,0.000000424861576738419,126.997145152791,11.8156851824445
2008-11-13,0.00000320446920606658,0.0000000559256812184032,89.1184361890001,1.5553306749065
2008-11-24,0.00000119353044577279,0.000000109300761502019,33.1928815761013,3.03972742845712
2008-12-04,0.00000110991059743728,0.0000000588201837779403,30.8673575536161,1.63582873092235
2008-12-12,0.00000121820508091953,0.0000000271702171632063,33.8790997159568,0.755621948220451
2008-12-17,0.0000014403720930972,0.000000100636097421386,40.0577132163061,2.79875731349793
2009-01-21,0.00000039651112842199,0.0000000385606022066071,11.0272402148867,1.07239618987543
2009-01-30,0.00000129212862548091,0.0000000541443388127564,35.9349630322233,1.50579034878701
2009-02-04,0.000000904920097930113,0.0000000721264188738037,25.1664343819733,2.00588404649897
2009-02-13,0.00000328313446949223,0.0000000277637594989031,91.3061698846828,0.772128758355848
2009-02-20,0.00000137278811484531,0.0000000191353216113955,38.1781574877515,0.532166118105525
2009-02-27,0.00000147403869511303,0.0000000358509745318114,40.9940039810195,0.997039628303521
2009-03-06,0.00000108245424628788,0.0000000456710199993641,30.1037780274784,1.27014167394539
2009-03-11,0.0000015257067644908,0.000000114233925789323,42.4309276172753,3.17692203339065
2009-03-19,0.000000978913726113637,0.0000000326251120791072,27.2242467707402,0.907326231588221
2009-03-27,0.00000335791244793488,0.000000139282226320308,93.3857955798113,3.87353205800484
2009-04-06,0.00000327032603096881,0.0000000702436679278878,90.9499586253987,1.95352348091271
2009-04-13,0.00000309606383262853,0.000000581870465168039,86.1036101026724,16.1822075937478
2009-04-22,0.00000389637415026549,0.000000419393723569998,108.360776387405,11.6636205213898
2009-04-30,0.0000109136416886586,0.00000116877672729007,303.515689456159,32.5044640756721
2009-05-08,0.00000862703053956949,0.000000870744634510826,239.92350096099,24.2159918406016
2009-05-16,0.00000393489080792344,0.000000315126463387492,109.431950449931,8.76387813797576
2009-05-21,0.00000565428922768752,0.00000080101068328511,157.249572808456,22.2766439227777
