"date","LE_mm_d","LE_mm_d_min","LE_mm_d_max","L3E_m3_d","L3E_m3_d_min","L3E_m3_d_max"
2020-04-06,3.28205254412308,3.27488586265339,3.28676498797742,91276.0808150831,91076.7706004509,91407.1370368537
2020-04-07,3.78241535685288,3.7630286587551,3.79334794788006,105191.505969798,104652.348903139,105495.548653058
2020-04-08,4.66456794428465,4.63709999242418,4.6854055393702,129724.760626503,128960.858476816,130304.268110753
2020-04-09,4.68119934491227,4.65588458236425,4.69873297298697,130187.291023974,129483.270512089,130674.912971403
2020-04-10,3.01009358763975,2.99877454112604,3.01646965677568,83712.719974073,83397.9297047382,83890.0427298513
2020-04-11,2.20251213194827,2.18904740101067,2.21414121094565,61253.3384670798,60878.8752759239,61576.7509475627
2020-04-12,3.87337691822442,3.85121428403579,3.88881699367302,107721.207952078,107104.850242358,108150.606797919
2020-04-13,5.05166532307272,5.02111374546755,5.08144236565271,140490.198155172,139640.538306943,141318.317665273
2020-04-14,4.00603532036362,3.98138884155074,4.01594921777765,111410.527020458,110725.091927117,111686.239151629
2020-04-15,3.78652637656878,3.76177361260826,3.80441755428188,105305.836183217,104617.44522869,105803.401825712
2020-04-16,5.30280263329012,5.26679691213039,5.33945528909387,147474.495059294,146473.151823561,148493.829981041
2020-04-17,4.6704907214087,4.63914769583606,4.68368673000573,129889.477027644,129017.806481028,130256.466870417
2020-04-18,2.21986576190698,2.21399535004375,2.22175255268544,61735.9545462714,61572.6944581278,61788.4274623084
2020-04-19,3.20630887681346,3.19016848106076,3.21606566896449,89169.5986653796,88720.7234425413,89440.9415938982
2020-04-20,4.08607048472186,4.0698641015622,4.09681743279668,113636.358579155,113185.648202306,113935.238407496
2020-04-21,5.30705885455169,5.29097348091308,5.31373139069402,147592.863425009,147145.518404038,147778.431126922
2020-04-22,3.23962449590234,3.23723964687817,3.24140012427262,90096.1283596732,90029.8041100349,90145.5097746395
2020-04-23,3.57868319259022,3.57699407784058,3.58050922922439,99525.5779446153,99478.6025314183,99576.3612471831
2020-04-24,3.97999352494312,3.96957525201822,3.98382978324178,110686.287237147,110396.548084996,110792.976151413
2020-04-25,2.17540424596976,2.16736686368385,2.17873474275762,60499.4499908788,60275.9250030219,60592.0733385783
2020-04-26,5.28187500852062,5.27390768036505,5.28691679034402,146892.483789198,146670.907053655,147032.699120604
2020-04-27,2.25747263937762,2.25349348381269,2.25928599565935,62781.8270120733,62671.1640290659,62832.2576655418
2020-04-28,5.62058535171538,5.58783957283413,5.6510307903676,156312.245430037,155401.563373813,157158.953482852
2020-04-29,3.47115963970062,3.45425092157707,3.49529883520451,96535.2758787176,96065.0330958322,97206.603083265
2020-04-30,3.53140443774744,3.51243016964781,3.54713119559571,98210.7240872042,97683.0369751954,98648.0957627089
2020-05-01,4.00826217366079,3.99197298650195,4.02621581341675,111472.457303043,111019.444091483,111971.76005681
2020-05-02,5.05655922542857,5.02772099293514,5.08884088590342,140626.300859479,139824.290287056,141524.075471779
2020-05-03,3.73718981520737,3.72423322844897,3.74803234626648,103933.753347424,103573.421986439,104235.291402615
2020-05-04,4.98358350375682,4.96519626641479,5.00756790058031,138596.797132984,138085.43573976,139263.819282487
2020-05-05,5.37956658183416,5.33629767011839,5.41514562700577,149609.351913898,148406.014481162,150598.829004453
