"dateOn","dateOff","TN_wet_kg"
2009-03-03 16:00:00,2009-03-10 19:00:00,97.5094584882014
2009-03-10 19:00:00,2009-03-17 16:00:00,61.0773558615551
2009-03-17 16:00:00,2009-03-24 15:00:00,115.839311064991
2009-03-24 15:00:00,2009-03-31 16:00:00,141.148446361757
2009-03-31 16:00:00,2009-04-07 14:00:00,51.1127641784751
2009-04-07 14:00:00,2009-04-14 15:00:00,19.1870379798365
2009-04-14 15:00:00,2009-04-21 15:00:00,42.574710045901
2009-04-21 15:00:00,2009-04-28 15:00:00,232.607997501111
2009-04-28 15:00:00,2009-05-05 16:00:00,50.9501138715885
2009-05-05 16:00:00,2009-05-12 15:00:00,161.070241528111
2009-05-12 15:00:00,2009-05-19 17:00:00,269.357028328797
2009-05-19 17:00:00,2009-05-26 15:00:00,289.167221486371
2009-05-26 15:00:00,2009-06-02 15:00:00,NA
2009-06-02 15:00:00,2009-06-09 16:00:00,16.3641754988615
2009-06-09 16:00:00,2009-06-16 15:00:00,0.244339288157263
2009-06-16 15:00:00,2009-06-23 16:00:00,151.536783247162
2009-06-23 16:00:00,2009-06-30 15:00:00,NA
2009-06-30 15:00:00,2009-07-07 16:00:00,41.6128429979965
2009-07-07 16:00:00,2009-07-14 15:00:00,56.278478089629
2009-07-14 15:00:00,2009-07-21 16:00:00,4.22782537101421
2009-07-21 16:00:00,2009-07-28 14:00:00,83.9879339324385
2009-07-28 14:00:00,2009-08-04 16:00:00,24.1856165212181
2009-08-04 16:00:00,2009-08-11 15:00:00,26.6872390363732
2009-08-11 15:00:00,2009-08-18 15:00:00,179.936237415125
2009-08-18 15:00:00,2009-08-25 19:00:00,9.66769135030794
2009-08-25 19:00:00,2009-09-01 15:00:00,NA
2009-09-01 15:00:00,2009-09-08 15:00:00,NA
2009-09-08 15:00:00,2009-09-15 18:00:00,NA
2009-09-15 18:00:00,2009-09-22 14:00:00,30.4144443814596
2009-09-22 14:00:00,2009-09-29 15:00:00,NA
2009-09-29 15:00:00,2009-10-06 15:00:00,20.2161860293179
2009-10-06 15:00:00,2009-10-13 15:00:00,44.3651170701609
2009-10-13 15:00:00,2009-10-20 15:00:00,98.8865239076565
2009-10-20 15:00:00,2009-10-27 15:00:00,93.8017679623112
2009-10-27 15:00:00,2009-11-03 17:00:00,96.5072176172305
2009-11-03 17:00:00,2009-11-10 15:00:00,34.4265038187418
2009-11-10 15:00:00,2009-11-17 17:00:00,63.7746480960072
2009-11-17 17:00:00,2009-11-24 16:00:00,NA
2009-11-24 16:00:00,2009-12-01 17:00:00,67.1642461902107
2009-12-01 17:00:00,2009-12-08 16:00:00,16.4518188703319
2009-12-08 16:00:00,2009-12-15 17:00:00,173.072739071023
2009-12-15 17:00:00,2009-12-23 17:00:00,131.91328187541
2009-12-23 17:00:00,2009-12-29 18:00:00,NA
2009-12-29 18:00:00,2010-01-05 17:00:00,64.8188828893637
2010-01-05 17:00:00,2010-01-12 16:00:00,36.2483222649144
2010-01-12 16:00:00,2010-01-19 16:00:00,54.9856374883825
2010-01-19 16:00:00,2010-01-26 16:00:00,7.7568618930486
2010-01-26 16:00:00,2010-02-02 16:00:00,79.6528622496885
2010-02-02 16:00:00,2010-02-09 16:00:00,8.11878871369041
2010-02-09 16:00:00,2010-02-16 17:00:00,36.3405451241801
2010-02-16 17:00:00,2010-02-23 16:00:00,13.4744211063831
2010-02-23 16:00:00,2010-03-02 16:00:00,31.3677750619378
2010-03-02 16:00:00,2010-03-09 17:00:00,97.1838227323469
2010-03-09 17:00:00,2010-03-16 15:00:00,NA
2010-03-16 15:00:00,2010-03-23 15:00:00,82.1327171268962
2010-03-23 15:00:00,2010-03-30 15:00:00,69.5336251159326
2010-03-30 15:00:00,2010-04-06 15:00:00,44.0085761530027
2010-04-06 15:00:00,2010-04-13 16:00:00,142.013411358247
2010-04-13 16:00:00,2010-04-20 15:00:00,167.957242545312
2010-04-20 15:00:00,2010-04-27 15:00:00,28.34192700829
2010-04-27 15:00:00,2010-05-04 16:00:00,207.222547785592
2010-05-04 16:00:00,2010-05-11 16:00:00,53.0197190528132
2010-05-11 16:00:00,2010-05-18 16:00:00,NA
2010-05-18 16:00:00,2010-05-25 15:00:00,24.4731406480166
2010-05-25 15:00:00,2010-06-01 15:00:00,207.016767739839
2010-06-01 15:00:00,2010-06-08 15:00:00,133.108147291543
2010-06-08 15:00:00,2010-06-23,NA
2010-06-23,2010-06-29 23:00:00,NA
2010-06-29 23:00:00,2010-07-06 15:00:00,57.3013100167607
2010-07-06 15:00:00,2010-07-13 15:00:00,0.361122402507225
2010-07-13 15:00:00,2010-07-20 16:00:00,18.6748138544017
2010-07-20 16:00:00,2010-07-27 14:00:00,32.3820518711243
2010-07-27 14:00:00,2010-08-03 15:00:00,241.1933973041
2010-08-03 15:00:00,2010-08-10 15:00:00,NA
2010-08-10 15:00:00,2010-08-17 23:00:00,85.1408387358691
2010-08-17 23:00:00,2010-08-24 14:00:00,80.5003650691717
2010-08-24 14:00:00,2010-08-31 14:00:00,30.4093101203407
2010-08-31 14:00:00,2010-09-07 15:00:00,68.4917412781246
2010-09-07 15:00:00,2010-09-14 15:00:00,63.6529095227824
2010-09-14 15:00:00,2010-09-22,218.892594992227
2010-09-22,2010-09-28 15:00:00,11.6231615325526
2010-09-28 15:00:00,2010-10-05 15:00:00,65.704229006266
2010-10-05 15:00:00,2010-10-12 16:00:00,54.2734482939778
2010-10-12 16:00:00,2010-10-26 15:00:00,NA
2010-10-26 15:00:00,2010-11-02 15:00:00,281.665318193052
2010-11-02 15:00:00,2010-11-09 16:00:00,88.3696637547849
2010-11-09 16:00:00,2010-11-16 16:00:00,29.945932862147
2010-11-16 16:00:00,2010-11-22 18:00:00,152.769088536172
2010-11-22 18:00:00,2010-11-29 17:00:00,95.0603124492334
2010-11-29 17:00:00,2010-12-07 17:00:00,61.074278338441
2010-12-07 17:00:00,2010-12-14 16:00:00,62.7665858170264
2010-12-14 16:00:00,2010-12-21 16:00:00,16.4204832962659
2010-12-21 16:00:00,2010-12-28 21:00:00,20.9613608788298
2010-12-28 21:00:00,2011-01-04 17:00:00,NA
2011-01-04 17:00:00,2011-01-10 16:00:00,49.926382685639
2011-01-10 16:00:00,2011-01-18 18:00:00,157.647111133414
2011-01-18 18:00:00,2011-01-25 22:00:00,34.9907928982535
2011-01-25 22:00:00,2011-02-01 21:00:00,NA
